Item,Resp,Did not order test kit (n=77) n/N,Ordered test kit (n=177) n/N,Percent_no,Percent_yes,P-value
Getting tested for HIV helps people feel better,Agree,70/77,169/177,90.9,95.5,0.1599
Getting tested for HIV helps people feel better,Disagree,7/77,8/177,9.1,4.5,
Getting tested for HIV helps people from getting HIV,Agree,62/76,148/177,81.6,83.6,0.7167
Getting tested for HIV helps people from getting HIV,Disagree,14/76,29/177,18.4,16.4,
People in my life would leave if I had HIV,Agree,37/77,59/175,48.1,33.7,0.0352
People in my life would leave if I had HIV,Disagree,40/77,116/175,51.9,66.3,
People who tested positive for HIV should hide it from others,Agree,9/77,18/177,11.7,10.2,0.8250
People who tested positive for HIV should hide it from others,Disagree,68/77,159/177,88.3,89.8,
I would rather not know if I have HIV,Agree,15/77,27/177,19.5,15.3,0.4628
I would rather not know if I have HIV,Disagree,62/77,150/177,80.5,84.7,
